"scenario", "treatment", "ctime", "air.temp", "TAN.app", "man.dm", "man.ph", "app.mthd", "rain.cum", "app.rate.ni", "j"                , "er"                 , "shift"
         1, "AA"       ,      74,     10.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0435070000845563 , 0.30674422024749     ,    0
         1, "AA"       ,      75,     10.3  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0425605231655375 , 0.307430680298547    ,    0
         1, "AA"       ,      76,      9.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0416282929705609 , 0.308102104378717    ,    0
         1, "AA"       ,      77,      8.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0406667350456829 , 0.308758019460099    ,    0
         1, "AA"       ,      78,      7.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0397737369913429 , 0.309399531347056    ,    0
         1, "AA"       ,      79,      7.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0389679653822093 , 0.310028046917737    ,    0
         1, "AA"       ,      80,      7.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0382059849252911 , 0.310644272481048    ,    0
         1, "AA"       ,      81,      7.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0374605006450714 , 0.311248474104356    ,    0
         1, "AA"       ,      82,      8    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0367264299130774 , 0.311840835877148    ,    0
         1, "AA"       ,      83,      7.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.036000489389135  , 0.312421488931811    ,    0
         1, "AA"       ,      84,      8.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.035303692747096  , 0.312990903330958    ,    0
         1, "AA"       ,      85,      8.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0346145415741574 , 0.313549202388605    ,    0
         1, "AA"       ,      86,      8.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0339442516678332 , 0.314096690318732    ,    0
         1, "AA"       ,      87,      8.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0332855445652314 , 0.314633553940752    ,    0
         1, "AA"       ,      88,      8    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0326363075923197 , 0.315159945998692    ,    0
         1, "AA"       ,      89,      8.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0320093915999102 , 0.315676226508368    ,    0
         1, "AA"       ,      90,      8    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0313913527082512 , 0.316182538648824    ,    0
         1, "AA"       ,      91,      7.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0307795296021958 , 0.316678982674666    ,    0
         1, "AA"       ,      92,      7.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0301910157135765 , 0.317165934541014    ,    0
         1, "AA"       ,      93,      7.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0296163100021154 , 0.317643616960403    ,    0
         1, "AA"       ,      94,      8.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0290648312030442 , 0.318112404560452    ,    0
         1, "AA"       ,      95,      9.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0285275673680303 , 0.318572526614775    ,    0
         1, "AA"       ,      96,     10.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0279936992570597 , 0.319024037893115    ,    0
         1, "AA"       ,      97,     10.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0274638581558833 , 0.319467003347242    ,    0
         1, "AA"       ,      98,     10.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0269368323738242 , 0.319901468385529    ,    0
         1, "AA"       ,      99,     10.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0264257284547682 , 0.320327689812219    ,    0
         1, "AA"       ,     100,     10.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.025920852926717  , 0.320745768085231    ,    0
         1, "AA"       ,     101,     10.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0254268417444301 , 0.321155878435947    ,    0
         1, "AA"       ,     102,     10.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0249456132364365 , 0.321558227036535    ,    0
         1, "AA"       ,     103,     10.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0244732529819913 , 0.321952956923341    ,    0
         1, "AA"       ,     104,     10.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0240091452052305 , 0.322340201200845    ,    0
         1, "AA"       ,     105,     10.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0235557111174849 , 0.322720132025321    ,    0
         1, "AA"       ,     106,     10.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.023111783435823  , 0.323092902725898    ,    0
         1, "AA"       ,     107,     10    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0226738265259065 , 0.323458609605348    ,    0
         1, "AA"       ,     108,      9.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0222439216279859 , 0.323817382534832    ,    0
         1, "AA"       ,     109,      9.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0218254689381467 , 0.324169406227383    ,    0
         1, "AA"       ,     110,      8.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0214143095445358 , 0.324514798316811    ,    0
         1, "AA"       ,     111,      8.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0210111040894532 , 0.324853687092447    ,    0
         1, "AA"       ,     112,      8.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0206168348736568 , 0.325186216687184    ,    0
         1, "AA"       ,     113,      8.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0202311925755794 , 0.325512526244854    ,    0
         1, "AA"       ,     114,      8.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0198514246386736 , 0.32583271051322     ,    0
