TREATMENT,time_since_slurry_aplication[h],flux [mg/m2 h],flux_std_dev[mg/m2 h],accumulated_emission [mg/m2],accumulated_emission_std_dev[mg/m2],relative_flux,relative_flux_std_dev,%_relative_accumulated_emissions,%_relative_accumulated_emisssions_std_dev,DATE_TIME,time_since_start_of_experiment
H2SO4,139.56911833333334,0.7059212314706578,0.14274731329810553,579.8007070059717,141.1851689336154,0.012914295698486294,0.0026114542698420385,10.60701597098481,2.5828760186896815,2025-11-03 06:11:19.588999998,140.50181722222223
H2SO4,141.29469916666667,2.2603966670910487,1.8516135785920316,582.3600176616375,142.3053280663627,0.041352249590045166,0.03387387176817592,10.653836626205363,2.603368483889405,2025-11-03 07:54:51.680000001,142.22739805555557
H2SO4,141.29815944444442,2.264208153365573,1.8476192332578758,582.3678458563942,142.30938061717666,0.04142197785235765,0.03380079823749362,10.653979837115257,2.6034426222453755,2025-11-03 07:55:04.136999998,142.23085833333332
H2SO4,141.30174527777777,2.268217820042969,1.8434556792986783,582.3759721184624,142.31357224295118,0.041495331675441234,0.03372462916283118,10.654128500941466,2.6035193048726946,2025-11-03 07:55:17.046000000,142.23444416666666
H2SO4,143.02700444444446,4.103309060630445,0.3351195933646975,587.8722396967349,143.52378674454044,0.0750669397502917,0.0061307598215341085,10.754678564573835,2.6256592650203157,2025-11-03 09:38:47.978999998,143.95970333333335
H2SO4,143.0305261111111,4.102894587441852,0.33502809881867074,587.8866894536585,143.5245938673453,0.07505935727638673,0.006129085997926724,10.754942911961846,2.6256740307223536,2025-11-03 09:39:00.656999999,143.963225
H2SO4,143.03399666666667,4.102324521708844,0.3346598606497625,587.9009277880403,143.52538911271202,0.07504892835441156,0.006122349358782383,10.755203391534161,2.6256885791356344,2025-11-03 09:39:13.151000001,143.96669555555556
H2SO4,144.75944694444445,3.786462474338473,0.22402777224570175,594.7067826448701,143.91196149629317,0.06927047079028344,0.004098418869519994,10.87971136520563,2.6327606288883176,2025-11-03 11:22:44.771999998,145.69214583333334
H2SO4,144.7626908333333,3.78317768425555,0.2237475569829597,594.7190601806716,143.91267077321822,0.06921037803694613,0.004093292542954147,10.879935973449046,2.6327736045738943,2025-11-03 11:22:56.449999998,145.6953897222222
H2SO4,144.7663925,3.779429344416022,0.22342893422241542,594.7330573058474,143.91347867057442,0.06914180499096305,0.0040874635802278635,10.880192040281136,2.6327883844457665,2025-11-03 11:23:09.776000000,145.6990913888889
H2SO4,146.4916063888889,2.0347182298509554,0.25447680970818604,599.748381379435,144.11607534812507,0.03722363305131454,0.004655461009626175,10.97194360578528,2.6364947376262315,2025-11-03 13:06:40.546000000,147.4243052777778
H2SO4,146.49525027777776,2.032151008411342,0.2537221419449023,599.7557909892498,144.11613780426475,0.037176667674277235,0.004641654932949807,10.972079158999852,2.63649588021413,2025-11-03 13:06:53.664000000,147.42794916666665
H2SO4,146.49872972222224,2.0297181844674124,0.2530288312820266,599.7628575133485,144.116198351665,0.03713216099790371,0.0046289713380781305,10.972208435720402,2.6364969878830804,2025-11-03 13:07:06.189999999,147.43142861111113
H2SO4,148.22443333333334,0.8516751184584384,0.137801100034816,602.2490729272938,144.21718705268017,0.015580752962907294,0.0025209670344081077,11.017691868707582,2.6383444998843846,2025-11-03 14:50:38.722999998,149.15713222222223
