DATE_TIME,TIME_NORM_GLOBAL[h],T[degc],P_ATMOS[hpa],F_BC,Q[m3/s],INTERVAL,START_TIME,T_10cm[degc],Project,Experiment,REPLICATE,Plot
2025-10-29 02:15:01.680,15.630810277777778,6.3,987.0,0.17244730981419082,0.033848190498164,9,2025-10-29 02:07:03.003,9.5,N-Grass,CattleAcid,2,13RAW
2025-10-29 02:23:00.897,15.763926111111113,6.3,987.0,0.03198644360921798,0.034415112959279966,8,2025-10-29 02:15:01.680,9.5,N-Grass,CattleAcid,2,14AA
2025-10-29 02:31:01.368,15.89739027777778,6.3,987.1,0.15184520592466436,0.034375863625514924,8,2025-10-29 02:23:00.897,9.5,N-Grass,CattleAcid,3,15RAW
2025-10-29 02:47:00.713,16.163875,6.3,987.1,0.00012462031369357083,0.034139420030223126,9,2025-10-29 02:31:01.368,9.5,N-Grass,CattleAcid,3,17AA
2025-10-29 02:55:00.480,16.29714361111111,6.3,987.1,0.027411736362539844,0.03362142174269256,9,2025-10-29 02:47:00.713,9.5,N-Grass,CattleAcid,3,18H2SO4
2025-10-29 03:02:59.944,16.430328055555556,6.3,987.1,0.020944488128552274,0.03436277055186325,13,2025-10-29 02:55:00.480,9.5,N-Grass,CattleAcid,1,4AA
2025-10-29 03:18:58.940,16.696715833333336,6.3,987.1,0.015306089612834617,0.03436277055186325,12,2025-10-29 03:02:59.944,9.5,N-Grass,CattleAcid,1,8H2SO4
2025-10-29 03:42:58.977,17.09672611111111,5.4,987.4,0.14587960625737334,0.033848190498164,10,2025-10-29 03:18:58.940,9.5,N-Grass,CattleAcid,1,11RAW
2025-10-29 03:50:59.098,17.230093055555557,5.4,987.4,0.03596898720338733,0.034139420030223126,9,2025-10-29 03:42:58.977,9.5,N-Grass,CattleAcid,2,12H2SO4
2025-10-29 03:58:58.644,17.36330027777778,5.4,987.4,0.16274777391258546,0.033848190498164,10,2025-10-29 03:50:59.098,9.5,N-Grass,CattleAcid,2,13RAW
2025-10-29 04:06:58.098,17.496481944444444,5.4,987.4,0.03318661425792864,0.034415112959279966,9,2025-10-29 03:58:58.644,9.5,N-Grass,CattleAcid,2,14AA
2025-10-29 04:14:58.236,17.62985361111111,5.4,987.4,0.15048264533318342,0.034375863625514924,9,2025-10-29 04:06:58.098,9.5,N-Grass,CattleAcid,3,15RAW
2025-10-29 04:30:56.946,17.896161944444444,5.8,987.6,0.0018178536499745457,0.034139420030223126,10,2025-10-29 04:14:58.236,9.4,N-Grass,CattleAcid,3,17AA
2025-10-29 04:38:56.438,18.029354166666668,5.8,987.6,0.027593326974813495,0.03362142174269256,10,2025-10-29 04:30:56.946,9.4,N-Grass,CattleAcid,3,18H2SO4
2025-10-29 04:46:56.757,18.16277611111111,5.8,987.6,0.017799552955124084,0.03436277055186325,14,2025-10-29 04:38:56.438,9.4,N-Grass,CattleAcid,1,4AA
2025-10-29 05:02:56.846,18.4294675,5.8,987.6,0.010092133492687757,0.03436277055186325,13,2025-10-29 04:46:56.757,9.4,N-Grass,CattleAcid,1,8H2SO4
2025-10-29 05:26:55.394,18.829064166666665,5.8,987.6,0.13028169306827725,0.033848190498164,11,2025-10-29 05:02:56.846,9.4,N-Grass,CattleAcid,1,11RAW
2025-10-29 05:34:55.723,18.96248888888889,7.2,987.8,0.03179030474547253,0.034139420030223126,10,2025-10-29 05:26:55.394,9.4,N-Grass,CattleAcid,2,12H2SO4
2025-10-29 05:42:55.365,19.095722777777777,7.2,987.8,0.14525694823686702,0.033848190498164,11,2025-10-29 05:34:55.723,9.4,N-Grass,CattleAcid,2,13RAW
2025-10-29 05:50:53.987,19.228673333333333,7.2,987.8,0.028279699995705385,0.034415112959279966,10,2025-10-29 05:42:55.365,9.4,N-Grass,CattleAcid,2,14AA
2025-10-29 05:58:55.059,19.362304444444444,7.2,987.8,0.14109314355628338,0.034375863625514924,10,2025-10-29 05:50:53.987,9.4,N-Grass,CattleAcid,3,15RAW
2025-10-29 06:14:53.989,19.628673888888887,7.2,987.8,0.001717977916583462,0.034139420030223126,11,2025-10-29 05:58:55.059,9.4,N-Grass,CattleAcid,3,17AA
2025-10-29 06:22:54.273,19.76208611111111,7.2,987.8,0.02913288889784628,0.03362142174269256,11,2025-10-29 06:14:53.989,9.4,N-Grass,CattleAcid,3,18H2SO4
2025-10-29 06:30:53.322,19.89515527777777,7.6,988.1,0.023670175122720294,0.03436277055186325,15,2025-10-29 06:22:54.273,9.4,N-Grass,CattleAcid,1,4AA
2025-10-29 06:46:53.336,20.16182583333333,7.6,988.1,0.01660203983367445,0.03436277055186325,14,2025-10-29 06:30:53.322,9.4,N-Grass,CattleAcid,1,8H2SO4
2025-10-29 07:10:51.637,20.56135388888889,7.6,988.1,0.13904063103668174,0.033848190498164,12,2025-10-29 06:46:53.336,9.4,N-Grass,CattleAcid,1,11RAW
2025-10-29 07:18:51.924,20.69476694444444,7.6,988.1,0.03807925430104772,0.034139420030223126,11,2025-10-29 07:10:51.637,9.4,N-Grass,CattleAcid,2,12H2SO4
2025-10-29 07:26:51.259,20.82791555555556,7.6,988.1,0.15113478091398222,0.033848190498164,12,2025-10-29 07:18:51.924,9.4,N-Grass,CattleAcid,2,13RAW
2025-10-29 07:34:51.516,20.961320277777777,8.0,988.6,0.03420059956762438,0.034415112959279966,11,2025-10-29 07:26:51.259,9.4,N-Grass,CattleAcid,2,14AA
2025-10-29 07:42:50.641,21.094410555555555,8.0,988.6,0.16159588023522606,0.034375863625514924,11,2025-10-29 07:34:51.516,9.4,N-Grass,CattleAcid,3,15RAW
2025-10-29 07:58:51.266,21.361250833333333,8.0,988.6,0.008077310279213084,0.034139420030223126,12,2025-10-29 07:42:50.641,9.4,N-Grass,CattleAcid,3,17AA
2025-10-29 08:06:49.816,21.49418138888889,8.0,988.6,0.036326669352230515,0.03362142174269256,12,2025-10-29 07:58:51.266,9.4,N-Grass,CattleAcid,3,18H2SO4
2025-10-29 08:14:49.815,21.627514444444444,8.0,988.6,0.03325294757547632,0.03436277055186325,16,2025-10-29 08:06:49.816,9.4,N-Grass,CattleAcid,1,4AA
2025-10-29 08:30:50.069,21.894251666666666,8.6,989.1,0.029825103581308788,0.03436277055186325,15,2025-10-29 08:14:49.815,9.4,N-Grass,CattleAcid,1,8H2SO4
2025-10-29 08:54:49.091,22.29398,8.6,989.1,0.19737121761176332,0.033848190498164,13,2025-10-29 08:30:50.069,9.4,N-Grass,CattleAcid,1,11RAW
2025-10-29 09:02:49.130,22.427324166666665,8.6,989.1,0.0753996372093576,0.034139420030223126,12,2025-10-29 08:54:49.091,9.4,N-Grass,CattleAcid,2,12H2SO4
2025-10-29 09:10:48.525,22.56048944444445,8.6,989.1,0.19340543292399318,0.033848190498164,13,2025-10-29 09:02:49.130,9.4,N-Grass,CattleAcid,2,13RAW
2025-10-29 09:18:48.414,22.693791944444445,8.6,989.1,0.061749812378978725,0.034415112959279966,12,2025-10-29 09:10:48.525,9.4,N-Grass,CattleAcid,2,14AA
2025-10-29 09:26:47.753,22.826941666666663,8.6,989.1,0.16655547913425456,0.034375863625514924,12,2025-10-29 09:18:48.414,9.4,N-Grass,CattleAcid,3,15RAW
2025-10-29 09:42:47.681,23.093588333333336,9.5,989.2,0.018226014425982814,0.034139420030223126,13,2025-10-29 09:26:47.753,9.4,N-Grass,CattleAcid,3,17AA
2025-10-29 09:50:46.559,23.22661,9.5,989.2,0.050374673129764735,0.03362142174269256,13,2025-10-29 09:42:47.681,9.4,N-Grass,CattleAcid,3,18H2SO4
2025-10-29 09:58:47.223,23.36012777777778,9.5,989.2,0.07847609877489199,0.03436277055186325,17,2025-10-29 09:50:46.559,9.4,N-Grass,CattleAcid,1,4AA
2025-10-29 10:14:46.806,23.62667861111112,9.5,989.2,0.05658398801123843,0.03436277055186325,16,2025-10-29 09:58:47.223,9.4,N-Grass,CattleAcid,1,8H2SO4
2025-10-29 10:38:45.526,24.02632305555556,10.4,989.3,0.24919250943961263,0.033848190498164,14,2025-10-29 10:14:46.806,9.4,N-Grass,CattleAcid,1,11RAW
2025-10-29 10:46:45.045,24.15952277777778,10.4,989.3,0.10104464241655536,0.034139420030223126,13,2025-10-29 10:38:45.526,9.4,N-Grass,CattleAcid,2,12H2SO4
2025-10-29 10:54:45.947,24.293106666666667,10.4,989.3,0.18978007647061226,0.033848190498164,14,2025-10-29 10:46:45.045,9.4,N-Grass,CattleAcid,2,13RAW
2025-10-29 11:02:45.490,24.42631305555556,10.4,989.3,0.07088827045077223,0.034415112959279966,13,2025-10-29 10:54:45.947,9.4,N-Grass,CattleAcid,2,14AA
2025-10-29 11:10:44.874,24.55947527777778,10.4,989.3,0.19758220953721323,0.034375863625514924,13,2025-10-29 11:02:45.490,9.4,N-Grass,CattleAcid,3,15RAW
2025-10-29 11:26:43.503,24.82576111111112,10.4,989.3,0.044112103233128266,0.034139420030223126,14,2025-10-29 11:10:44.874,9.4,N-Grass,CattleAcid,3,17AA
2025-10-29 11:34:43.609,24.95912388888889,9.8,989.0,0.059719237896889134,0.03362142174269256,14,2025-10-29 11:26:43.503,9.5,N-Grass,CattleAcid,3,18H2SO4
2025-10-29 11:42:43.519,25.09243222222222,9.8,989.0,0.061816292006960705,0.03436277055186325,18,2025-10-29 11:34:43.609,9.5,N-Grass,CattleAcid,1,4AA
2025-10-29 11:58:42.782,25.358894166666666,9.8,989.0,0.03171830172596318,0.03436277055186325,17,2025-10-29 11:42:43.519,9.5,N-Grass,CattleAcid,1,8H2SO4
2025-10-29 12:22:42.325,25.758767222222225,9.8,989.0,0.15371453589193185,0.033848190498164,15,2025-10-29 11:58:42.782,9.5,N-Grass,CattleAcid,1,11RAW
2025-10-29 12:30:42.447,25.892134444444444,9.4,988.7,0.045960895535391955,0.034139420030223126,14,2025-10-29 12:22:42.325,9.6,N-Grass,CattleAcid,2,12H2SO4
2025-10-29 12:38:42.628,26.02551805555556,9.4,988.7,0.16114499741052568,0.033848190498164,15,2025-10-29 12:30:42.447,9.6,N-Grass,CattleAcid,2,13RAW
2025-10-29 12:46:41.921,26.158655,9.4,988.7,0.045076033377261245,0.034415112959279966,14,2025-10-29 12:38:42.628,9.6,N-Grass,CattleAcid,2,14AA
2025-10-29 12:54:41.374,26.29183638888889,9.4,988.7,0.14436586587790656,0.034375863625514924,14,2025-10-29 12:46:41.921,9.6,N-Grass,CattleAcid,3,15RAW
2025-10-29 13:10:40.848,26.558356944444448,9.4,988.7,0.017534539375708452,0.034139420030223126,15,2025-10-29 12:54:41.374,9.6,N-Grass,CattleAcid,3,17AA
2025-10-29 13:18:39.437,26.69129833333333,9.4,988.7,0.034348548183622,0.03362142174269256,15,2025-10-29 13:10:40.848,9.6,N-Grass,CattleAcid,3,18H2SO4
2025-10-29 13:26:40.312,26.824874722222223,9.4,988.7,0.03268478903930601,0.03436277055186325,19,2025-10-29 13:18:39.437,9.6,N-Grass,CattleAcid,1,4AA
2025-10-29 13:42:39.641,27.091355,9.3,988.5,0.018051593582425283,0.03436277055186325,18,2025-10-29 13:26:40.312,9.7,N-Grass,CattleAcid,1,8H2SO4
2025-10-29 14:06:39.591,27.491341111111108,9.3,988.5,0.13833888881816725,0.033848190498164,16,2025-10-29 13:42:39.641,9.7,N-Grass,CattleAcid,1,11RAW
2025-10-29 14:14:39.572,27.624669166666664,9.3,988.5,0.03685010636735484,0.034139420030223126,15,2025-10-29 14:06:39.591,9.7,N-Grass,CattleAcid,2,12H2SO4
2025-10-29 14:22:39.174,27.75789194444444,9.3,988.5,0.15758263040794623,0.033848190498164,16,2025-10-29 14:14:39.572,9.7,N-Grass,CattleAcid,2,13RAW
2025-10-29 14:30:39.457,27.89130388888889,9.4,988.1,0.03567478897951682,0.034415112959279966,15,2025-10-29 14:22:39.174,9.7,N-Grass,CattleAcid,2,14AA
2025-10-29 14:38:39.696,28.02470361111111,9.4,988.1,0.13380028623033097,0.034375863625514924,15,2025-10-29 14:30:39.457,9.7,N-Grass,CattleAcid,3,15RAW
2025-10-29 14:54:38.085,28.290922777777777,9.4,988.1,0.012951999501182535,0.034139420030223126,16,2025-10-29 14:38:39.696,9.7,N-Grass,CattleAcid,3,17AA
2025-10-29 15:02:38.263,28.42430555555556,9.4,988.1,0.031317097558882706,0.03362142174269256,16,2025-10-29 14:54:38.085,9.7,N-Grass,CattleAcid,3,18H2SO4
2025-10-29 15:10:38.091,28.55759111111111,9.4,988.1,0.028566561025454074,0.03436277055186325,20,2025-10-29 15:02:38.263,9.7,N-Grass,CattleAcid,1,4AA
2025-10-29 15:26:37.392,28.82406361111111,9.4,988.1,0.015412720444846206,0.03436277055186325,19,2025-10-29 15:10:38.091,9.7,N-Grass,CattleAcid,1,8H2SO4
2025-10-29 15:50:36.651,29.22385777777778,9.2,987.9,0.13746604897768663,0.033848190498164,17,2025-10-29 15:26:37.392,9.8,N-Grass,CattleAcid,1,11RAW
2025-10-29 15:58:35.756,29.3569425,9.2,987.9,0.030944815335511515,0.034139420030223126,16,2025-10-29 15:50:36.651,9.8,N-Grass,CattleAcid,2,12H2SO4
